address,area,price,release_time,traffic
南码头                             东三小区 · 距离地铁临沂新村1035米 ,2室1厅1卫·46.16  平米  ·  南  ·  低楼层/6层  ·  毛坯  ·  1983年建,250万,2  人关注 · 近30天带看  16  次  ·  2020-05-16发布,近地铁满五年
金杨                             黄山一村 · 距离地铁云山路477米 ,1室1厅1卫·34.29  平米  ·  南  ·  中楼层/6层  ·  精装  ·  1998年建,460万,0  人关注 · 近30天带看  12  次  ·  2020-05-21发布,近地铁随时看
金杨                             香山东南街坊 · 距离地铁蓝天路518米 ,2室1厅1卫·75.49  平米  ·  南  ·  高楼层/24层  ·  精装  ·  1996年建,458万,3  人关注 · 近30天带看  29  次  ·  2020-05-08发布,近地铁随时看满五年近公园
甘泉宜川                             平江小区 · 距离地铁中潭路755米 ,2室1厅1卫·70.86  平米  ·  北  ·  低楼层/24层  ·  精装  ·  1997年建,370万,1  人关注 · 近30天带看  23  次  ·  2020-05-02发布,近地铁随时看
塘桥                             浦建小区 · 距离地铁塘桥263米 ,1室1厅1卫·34.32  平米  ·  南  ·  中楼层/6层  ·  毛坯  ·  1990年建,210万,5  人关注 · 近30天带看  15  次  ·  2020-04-21发布,近地铁随时看满五年
长桥                             长桥三村 ,1室1厅1卫·40.97  平米  ·  南  ·  底层/6层  ·  简装  ·  1990年建,210万,4  人关注 · 近30天带看  26  次  ·  2020-04-09发布,满五年
金杨                             香山东南街坊 · 距离地铁蓝天路518米 ,1室1厅1卫·39.65  平米  ·  南  ·  底层/6层  ·  中装  ·  1995年建,230万,4  人关注 · 近30天带看  18  次  ·  2020-03-11发布,近地铁随时看
金杨                             黄山一村 · 距离地铁云山路477米 ,3室2厅1卫·82.69  平米  ·  南  ·  高楼层/6层  ·  中装  ·  1995年建,670万,3  人关注 · 近30天带看  13  次  ·  2020-05-08发布,近地铁随时看
光新                             太浜巷-岚皋路166弄 · 距离地铁镇坪路326米 ,1室1厅1卫·40.04  平米  ·  南北  ·  中楼层/6层  ·  中装  ·  1990年建,236万,1  人关注 · 近30天带看  14  次  ·  2020-04-12发布,近地铁满五年
金杨                             香山东北街坊 · 距离地铁蓝天路629米 ,2室1厅1卫·56.58  平米  ·  南北  ·  高楼层/6层  ·  毛坯  ·  1995年建,280万,1  人关注 · 近30天带看  17  次  ·  2020-04-01发布,近地铁满五年
华东理工                             舒城苑 ,2室2厅1卫·90.9  平米  ·  南  ·  中楼层/6层  ·  简装  ·  2002年建,595万,1  人关注 · 近30天带看  11  次  ·  2020-03-22发布,随时看满五年近公园
洋泾                             崮山三街坊 · 距离地铁德平路658米 ,3室2厅1卫·87.27  平米  ·  南北  ·  中楼层/6层  ·  中装  ·  1998年建,745万,4  人关注 · 近30天带看  13  次  ·  2020-03-28发布,近地铁随时看满五年近公园
南码头                             临沂六村 · 距离地铁临沂新村307米 ,2室1厅1卫·56  平米  ·  东南西  ·  中楼层/6层  ·  精装  ·  1989年建,308万,7  人关注 · 近30天带看  16  次  ·  2020-03-26发布,近地铁随时看
华东理工                             家乐苑 ,2室1厅1卫·67.82  平米  ·  南北  ·  高楼层/6层  ·  简装  ·  1996年建,355万,1  人关注 · 近30天带看  12  次  ·  2020-03-21发布,随时看满五年
北新泾                             瑞冬小区 · 距离地铁北新泾698米 ,2室1厅1卫·63.79  平米  ·  南  ·  低楼层/6层  ·  毛坯  ·  1994年建,358万,2  人关注 · 近30天带看  14  次  ·  2020-04-18发布,近地铁随时看
曹杨                             曹杨五村-芙蓉园 · 距离地铁金沙江路705米 ,1室1厅1卫·47.11  平米  ·  南  ·  中楼层/7层  ·  精装  ·  1989年建,250万,1  人关注 · 近30天带看  6  次  ·  2020-05-12发布,近地铁随时看满五年近公园
华东理工
             凌云新村 ,2室1厅1卫·61.07  平米  ·  南  ·  顶层/6层  ·  中装  ·  2003年建,290万,6  人关注 · 近30天带看  8  次  ·  2020-04-19发布,随时看满五年
塘桥                             微山新村 · 距离地铁塘桥291米 ,1室1厅1卫·31.32  平米  ·  南  ·  中楼层/5层  ·  中装  ·  2001年建,193万,3  人关注 · 近30天带看  10  次  ·  2020-04-09发布,近地铁随时看满五年
古美罗阳                             春江锦庐 · 距离地铁虹莘路837米 ,2室2厅1卫·98.01  平米  ·  南  ·  中楼层/6层  ·  中装  ·  2005年建,590万,1  人关注 · 近30天带看  6  次  ·  2020-05-21发布,近地铁满五年
洋泾                             崮山四街坊 · 距离地铁北洋泾路705米 ,2室1厅1卫·66.55  平米  ·  南  ·  高楼层/6层  ·  简装  ·  1997年建,600万,2  人关注 · 近30天带看  13  次  ·  2020-04-16发布,近地铁随时看满五年近公园
黄兴公园                             凤城三村 · 距离地铁黄兴路590米 ,1室1厅1卫·34.36  平米  ·  南  ·  中楼层/5层  ·  精装  ·  2001年建,185万,0  人关注 · 近30天带看  1  次  ·  2020-05-22发布,近地铁随时看满五年
金杨                             罗山三村-龙居路180弄 · 距离地铁德平路695米 ,2室1厅1卫·72.77  平米  ·  南  ·  中楼层/6层  ·  中装  ·  1998年建,430万,3  人关注 · 近30天带看  48  次  ·  2019-11-23发布,近地铁满五年
南站                             汇成四村 · 距离地铁上海南站1165米 ,1室1厅1卫·38.6  平米  ·  南  ·  中楼层/6层  ·  中装  ·  1994年建,213万,2  人关注 · 近30天带看  26  次  ·  2019-11-15发布,近地铁满五年
金桥                             清水苑-台儿庄路363弄 · 距离地铁台儿庄路725米 ,2室1厅1卫·68.47  平米  ·  东北  ·  中楼层/6层  ·  简装  ·  1998年建,378万,10  人关注 · 近30天带看  11  次  ·  2019-06-23发布,近地铁满五年
光新                             太浜巷-岚皋路166弄 · 距离地铁镇坪路326米 ,1室1厅1卫·44  平米  ·  南北  ·  中楼层/6层  ·  中装  ·  2001年建,220万,2  人关注 · 近30天带看  11  次  ·  2020-04-08发布,近地铁随时看满五年
金杨                             罗山三村-龙居路150弄 · 距离地铁德平路860米 ,1室1厅1卫·44.7  平米  ·  南  ·  底层/6层  ·  简装  ·  1995年建,255万,4  人关注 · 近30天带看  21  次  ·  2019-09-03发布,近地铁满五年
南站                             东荡小区 · 距离地铁上海南站630米 ,2室1厅1卫·62.57  平米  ·  南  ·  低楼层/6层  ·  简装  ·  1994年建,348万,5  人关注 · 近30天带看  11  次  ·  2020-03-12发布,近地铁满五年
长桥                             长桥三村 ,1室1厅1卫·38.98  平米  ·  南  ·  中楼层/6层  ·  简装  ·  1985年建,210万,2  人关注 · 近30天带看  12  次  ·  2018-12-16发布,满二年
潍坊                             潍坊六村 · 距离地铁浦电路(6号线)590米 ,1室1厅1卫·31.87  平米  ·  南  ·  顶层/6层  ·  简装  ·  1983年建,355万,1  人关注 · 近30天带看  11  次  ·  2020-03-23发布,近地铁满二年
北蔡                             海上国际花园一期 · 距离地铁锦绣路730米 ,2室2厅2卫·108.77  平米  ·  南  ·  低楼层/18层  ·  精装  ·  2005年建,775万,1  人关注 · 近30天带看  23  次  ·  2020-01-18发布,近地铁满五年
